Metric,LR,SR,Relative Change
Detected Pixels,17927444,18196385,0.015001636596940423
Median MNDWI,-0.08773442,-0.0843972,
High-Conf Fraction,0.17552024,0.18885356,0.07596458
Edge-Region Gain,,,0.3833475096871751
Perimeter/Area (P2A),0.008500442115451595,0.021119403661771282,1.484506496830523
True Positives,920424,991330,
True Negatives,28310852,28112817,
False Positives,17007020,17205055,
False Negatives,2761704,2690798,
Precision,0.05134161902834559,0.054479502384676956,
Recall,0.24997066913480465,0.2692274684638883,
Specificity,0.6247171535327166,0.6203472440188719,
F1 Score,0.08518669411869888,0.09062133244613105,
Accuracy,0.5965566530612245,0.5939621836734694,
IoU,0.04448825055531528,0.04746116314488172,
MCC,-0.0685851028217333,-0.06025031638784723,
Balanced Accuracy,0.4373439113337606,0.4447873562413801,
